State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29587,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29588,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29589,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29590,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29591,COWARD,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29592,MARION CO CAPITAL PROJECTS SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29593,DARLINGTON CO EDUCATION CAPTIAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29594,TATUM,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29596,MARLBORO CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29597,MYRTLE BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29598,NORTH MYRTLE BEACH,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29601,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29602,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29603,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29604,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29605,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29606,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29607,PICKENS,0.070000,0.060000,0.010000,0.000000,0.000000,0
SC,29608,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29609,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29610,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29611,ANDERSON CO EDUCATION CAPITAL IMPROVEMENT TAX SD,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29612,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29613,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29614,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29615,GREENVILLE,0.060000,0.060000,0.000000,0.000000,0.000000,0
